Test_Number,Experiment_ID,Profile,Start_X,Start_Y,Goal_X,Goal_Y,Euclidean_Distance,Dijkstra_Success,Dijkstra_Path_Length,Dijkstra_Cost,AStar_Success,AStar_Path_Length,AStar_Cost,Safety_Success,Safety_Path_Length,Safety_Cost,Balanced_Success,Balanced_Path_Length,Balanced_Cost
1,1,Offensive,205.56,302.24,49.24,28.01,315.65,1,29,38.8127,1,29,38.8127,1,48,73.3985,1,33,13.3987
1,1,Neutral,205.56,302.24,49.24,28.01,315.65,1,29,48.146,1,29,48.146,1,48,74.9651,1,34,16.7504
1,1,Defensive,205.56,302.24,49.24,28.01,315.65,1,29,66.8127,1,29,66.8127,1,48,78.0985,1,34,25.1256
1,1,Dynamic,205.56,302.24,49.24,28.01,315.65,1,29,40.146,1,29,40.146,1,48,73.5318,1,33,18.3691
1,2,Offensive,334.36,479.35,219.77,294.78,217.25,1,22,21.2572,1,22,21.3181,1,22,4.6718,1,21,3.4989
1,2,Neutral,334.36,479.35,219.77,294.78,217.25,1,22,28.2572,1,22,28.3181,1,22,5.3718,1,22,2.9885
1,2,Defensive,334.36,479.35,219.77,294.78,217.25,1,21,42.0605,1,21,42.0605,1,22,6.7718,1,22,3.4633
1,2,Dynamic,334.36,479.35,219.77,294.78,217.25,1,22,21.2572,1,22,21.3181,1,22,4.6718,1,21,3.4989
1,3,Offensive,377.32,240.16,42.88,177.65,340.23,1,38,43.41,1,38,43.5157,1,38,67.7995,1,39,12.6952
1,3,Neutral,377.32,240.16,42.88,177.65,340.23,1,37,55.687,1,37,55.687,1,38,69.0329,1,40,15.1514
1,3,Defensive,377.32,240.16,42.88,177.65,340.23,1,34,77.9095,1,34,77.9095,1,38,71.4995,1,40,21.9706
1,3,Dynamic,377.32,240.16,42.88,177.65,340.23,1,38,44.7433,1,38,44.8491,1,38,67.9329,1,39,17.7279
1,4,Offensive,143.13,37.26,420.82,412.04,466.44,1,44,52.4112,1,43,52.7202,1,51,45.5114,1,43,18.5894
1,4,Neutral,143.13,37.26,420.82,412.04,466.44,1,43,66.4761,1,43,66.4761,1,51,47.178,1,43,24.0887
1,4,Defensive,143.13,37.26,420.82,412.04,466.44,1,43,94.4761,1,43,94.4761,1,51,50.5114,1,50,26.3678
1,4,Dynamic,143.13,37.26,420.82,412.04,466.44,1,44,52.7445,1,43,53.0536,1,51,45.5447,1,43,19.7207
1,5,Offensive,109.06,433.6,474.21,71.61,514.17,1,55,54.0,1,52,56.9345,1,55,5.4,1,53,18.1077
1,5,Neutral,109.06,433.6,474.21,71.61,514.17,1,49,70.0266,1,49,70.0908,1,55,7.2,1,55,15.1191
1,5,Defensive,109.06,433.6,474.21,71.61,514.17,1,47,101.5843,1,47,101.5843,1,55,10.8,1,55,22.2876
1,5,Dynamic,109.06,433.6,474.21,71.61,514.17,1,55,54.0,1,55,54.0847,1,55,5.4,1,54,12.603
1,6,Offensive,323.05,308.0,378.14,404.0,110.69,1,11,11.7729,1,11,11.8329,1,11,18.7285,1,11,3.1556
1,6,Neutral,323.05,308.0,378.14,404.0,110.69,1,11,15.1062,1,11,15.1062,1,11,19.0619,1,11,3.0992
1,6,Defensive,323.05,308.0,378.14,404.0,110.69,1,11,21.7729,1,11,21.7729,1,11,19.7285,1,11,4.6488
1,6,Dynamic,323.05,308.0,378.14,404.0,110.69,1,11,12.1062,1,11,12.1662,1,11,18.7619,1,11,3.8368
1,7,Offensive,392.46,356.66,33.27,354.66,359.19,1,37,37.5147,1,39,39.7,1,37,18.7473,1,37,14.5661
1,7,Neutral,392.46,356.66,33.27,354.66,359.19,1,37,49.5147,1,37,49.5147,1,37,19.9473,1,40,12.8173
1,7,Defensive,392.46,356.66,33.27,354.66,359.19,1,37,73.5147,1,37,73.5147,1,37,22.3473,1,40,14.2587
1,7,Dynamic,392.46,356.66,33.27,354.66,359.19,1,37,37.8481,1,39,40.0333,1,37,18.7806,1,39,12.1278
1,8,Offensive,343.38,197.98,293.21,85.3,123.34,1,16,16.4629,1,15,16.5318,1,18,13.1795,1,16,7.24
1,8,Neutral,343.38,197.98,293.21,85.3,123.34,1,13,20.5549,1,13,20.5549,1,18,13.7461,1,17,7.7345
1,8,Defensive,343.38,197.98,293.21,85.3,123.34,1,13,28.5549,1,13,28.5549,1,18,14.8795,1,28,7.7537
1,8,Dynamic,343.38,197.98,293.21,85.3,123.34,1,16,16.4629,1,15,16.5318,1,18,13.1795,1,18,7.3567
1,9,Offensive,131.58,77.85,160.37,47.7,41.69,1,4,8.9124,1,4,8.9124,1,16,15.8083,1,4,5.9424
1,9,Neutral,131.58,77.85,160.37,47.7,41.69,1,4,9.9124,1,4,9.9124,1,16,16.3083,1,4,7.9233
1,9,Defensive,131.58,77.85,160.37,47.7,41.69,1,4,11.9124,1,4,11.9124,1,16,17.3083,1,15,4.6479
1,9,Dynamic,131.58,77.85,160.37,47.7,41.69,1,4,9.5791,1,4,9.5791,1,16,15.8083,1,13,4.245
1,10,Offensive,93.68,311.45,131.48,430.89,125.28,1,14,24.1889,1,14,24.1889,1,48,24.5133,1,14,11.766
1,10,Neutral,93.68,311.45,131.48,430.89,125.28,1,14,28.5222,1,14,28.5222,1,48,26.08,1,14,15.688
1,10,Defensive,93.68,311.45,131.48,430.89,125.28,1,14,37.1889,1,14,37.1889,1,48,29.2133,1,27,13.6925
1,10,Dynamic,93.68,311.45,131.48,430.89,125.28,1,14,25.1889,1,14,25.1889,1,48,24.5467,1,14,13.689
1,11,Offensive,184.31,377.03,73.63,103.45,295.11,1,28,29.2271,1,28,29.2271,1,56,6.2123,1,28,5.4096
1,11,Neutral,184.31,377.03,73.63,103.45,295.11,1,28,38.2271,1,28,38.2271,1,56,8.0456,1,28,7.2128
1,11,Defensive,184.31,377.03,73.63,103.45,295.11,1,28,56.2271,1,28,56.2271,1,56,11.7123,1,28,10.8192
1,11,Dynamic,184.31,377.03,73.63,103.45,295.11,1,28,29.2271,1,28,29.2271,1,56,6.2123,1,28,5.4096
1,12,Offensive,394.19,38.17,260.57,232.55,235.88,1,21,22.5257,1,21,23.2396,1,29,2.8,1,21,5.1335
1,12,Neutral,394.19,38.17,260.57,232.55,235.88,1,21,29.1923,1,21,29.1923,1,29,3.7333,1,21,6.0972
1,12,Defensive,394.19,38.17,260.57,232.55,235.88,1,21,42.5257,1,21,42.5257,1,29,5.6,1,21,8.4904
1,12,Dynamic,394.19,38.17,260.57,232.55,235.88,1,21,22.5257,1,21,23.2396,1,29,2.8,1,21,5.1335
1,13,Offensive,124.39,346.87,308.83,463.11,218.01,1,23,35.7544,1,23,36.1209,1,40,66.0995,1,23,16.2195
1,13,Neutral,124.39,346.87,308.83,463.11,218.01,1,19,41.9606,1,20,42.2,1,40,67.3995,1,23,21.626
1,13,Defensive,124.39,346.87,308.83,463.11,218.01,1,19,53.9606,1,19,53.9606,1,40,69.9995,1,30,23.7906
1,13,Dynamic,124.39,346.87,308.83,463.11,218.01,1,23,38.0877,1,23,38.4542,1,40,66.2329,1,23,22.8708
1,14,Offensive,221.65,358.22,132.52,51.76,319.15,1,35,45.082,1,35,45.082,1,55,81.9889,1,40,16.7544
1,14,Neutral,221.65,358.22,132.52,51.76,319.15,1,35,56.4153,1,35,56.4153,1,55,83.7889,1,59,19.693
1,14,Defensive,221.65,358.22,132.52,51.76,319.15,1,34,78.8853,1,34,78.8853,1,50,87.1011,1,48,26.4974
1,14,Dynamic,221.65,358.22,132.52,51.76,319.15,1,35,46.4153,1,35,46.4153,1,55,82.1222,1,40,22.2042
1,15,Offensive,150.31,412.98,395.95,145.47,363.19,1,35,43.5352,1,35,43.8248,1,45,71.7314,1,33,16.8235
